                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 2.1183,                 1.4553,                 1.0089,                0.51333,                 0.4114,                 0.4383,                0.17272,                 2.0596,                 1.3139,                 1.0364,              0.0090298,              0.0090298,              0.0090298
                     51,                  2.148,                 1.4621,                 1.0128,                0.49911,                0.48998,                0.46364,                0.16577,                 2.0443,                 1.3585,                 1.0256,                0.00901,                0.00901,                0.00901
                     52,                 2.1732,                 1.4402,                  1.018,                0.76464,                0.47715,                0.54311,                0.22439,                 2.0133,                 1.2722,                 1.0247,              0.0089902,              0.0089902,              0.0089902
                     53,                 2.0417,                 1.3846,                 1.0227,                0.78922,                0.50227,                0.51155,                0.17495,                 2.0998,                 1.3278,                  1.055,              0.0089704,              0.0089704,              0.0089704
                     54,                 2.0654,                 1.4419,                 1.0341,                0.78922,                0.50227,                0.51155,                0.17495,                 2.0998,                 1.3278,                  1.055,              0.0089506,              0.0089506,              0.0089506
                     55,                 2.1542,                 1.3618,                 1.0279,                0.88433,                0.48148,                0.58774,                0.26729,                  1.989,                 1.2163,                 1.0303,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.9989,                 1.4037,                 1.0009,                0.82482,                0.51583,                0.55215,                0.21833,                  2.007,                 1.4939,                  1.028,               0.008911,               0.008911,               0.008911
                     57,                 2.1275,                 1.5828,                 1.0241,                0.86163,                0.53607,                0.59917,                0.26143,                 2.0155,                 1.2149,                 1.0247,              0.0088912,              0.0088912,              0.0088912
                     58,                 2.2018,                 1.4048,                0.98585,                0.86163,                0.53607,                0.59917,                0.26143,                 2.0155,                 1.2149,                 1.0247,              0.0088714,              0.0088714,              0.0088714
                     59,                 2.1057,                 1.4985,                 1.0277,                0.76402,                0.47254,                0.41347,                0.15949,                  2.125,                 1.3775,                 1.0393,              0.0088516,              0.0088516,              0.0088516
                     60,                 2.0578,                 1.4725,                 1.0503,                0.87827,                0.57413,                0.61288,                0.28362,                 1.9056,                  1.231,                 1.0162,              0.0088318,              0.0088318,              0.0088318
                     61,                 2.0526,                 1.3791,                0.99167,                 0.7803,                 0.4876,                0.47571,                0.18739,                 2.0769,                 1.4122,                 1.0223,               0.008812,               0.008812,               0.008812
                     62,                 2.0431,                 1.4108,                0.99973,                 0.7803,                 0.4876,                0.47571,                0.18739,                 2.0769,                 1.4122,                 1.0223,              0.0087922,              0.0087922,              0.0087922
                     63,                  2.065,                 1.3664,                 1.0187,                0.45936,                0.58441,                0.58691,                0.23616,                 1.9738,                 1.2414,                 1.0055,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.9937,                 1.3263,                 1.0314,                0.91657,                0.54534,                0.60726,                 0.2577,                 1.9906,                 1.1729,                 1.0075,              0.0087526,              0.0087526,              0.0087526
                     65,                 2.0993,                 1.3209,                0.99558,                0.84012,                0.56951,                0.58748,                0.23672,                 2.0128,                 1.1627,                 1.0249,              0.0087328,              0.0087328,              0.0087328
                     66,                 2.0206,                 1.3071,                 1.0167,                0.84012,                0.56951,                0.58748,                0.23672,                 2.0128,                 1.1627,                 1.0249,               0.008713,               0.008713,               0.008713
                     67,                 2.0416,                 1.3009,                0.98897,                0.86459,                0.56973,                 0.5966,                0.23983,                 2.1497,                  1.233,                 1.0293,              0.0086932,              0.0086932,              0.0086932
                     68,                 2.0445,                 1.3153,                 1.0097,                0.84041,                0.56401,                0.60839,                0.24602,                 1.9684,                 1.1501,                 1.0154,              0.0086734,              0.0086734,              0.0086734
